Title,Anno,RQ,Descrizione abstract,Metodo,Tipo di dati,Tecnica per missing,Tecnica per eterogeneità,Risultati principali,Review Status,Link
https://www.scopus.com/pages/publications/105003216960,2025,"RQ1, RQ2, RQ3, RQ4","Il forecasting di serie temporali multivariate mira a prevedere accuratamente l'andamento futuro dei dati analizzando le diverse caratteristiche delle serie. Tuttavia, nella pratica è spesso difficile ottenere un numero sufficiente di dati etichettati di alta qualità, ostacolando la capacità del modello di generalizzare. Per affrontare questo problema, gli autori propongono un algoritmo che combina tecniche di time-frequency mining e regularizzazione della consistenza. In particolare:
1. Ampliano i dati tramite perturbazioni deboli per generare una varietà maggiore di esempi di training.
2. Applicano una regularizzazione sulla consistenza per garantire che il modello produca previsioni stabili anche a fronte di leggere variazioni negli input.
3. Usano due estrattori di dipendenze complementari per catturare in modo adattivo le interazioni tra variabili su più livelli di frequenze.
Infine, validano il metodo su cinque dataset reali, mostrando che il modello proposto ottiene prestazioni superiori rispetto ai metodi esistenti.",,,,,,,
https://www.scopus.com/pages/publications/85215351023,2025,"RQ1, RQ2, RQ3, RQ4","I modelli basati su Transformer per il forecasting di serie temporali hanno ottenuto buoni risultati, e negli ultimi anni sono stati proposte diverse varianti. Tuttavia, molti di questi modelli rappresentano la serie temporale a una singola scala temporale, il che rende difficile catturare granularità temporali diverse o le correlazioni tra più serie, compromettendo la precisione delle previsioni.
In questo lavoro, gli autori propongono MultiPatchFormer, un nuovo modello Transformer che integra:
1. Modellazione temporale multi-scala, in cui la serie viene suddivisa in “patches” a diverse risoluzioni per cogliere correlazioni temporali su più scale.
2. Encoder “channel-wise”, che modella le relazioni tra le varie serie in input, catturando le interazioni complesse tra canali.
3. Un decodificatore lineare multi-step, progettato per migliorare la generalizzazione e ridurre l’overfitting e il rumore.
Il modello è stato validato su sette dataset reali, dimostrando di superare i modelli di riferimento esistenti in termini di metriche di errore e generalizzazione.",,,,,,,
https://www.scopus.com/pages/publications/105004439982,2025,"RQ1, RQ2, RQ3, RQ4","Le Electronic Health Records (EHRs) rappresentano un archivio completo di dati sanitari multimodali dei pazienti, che combinano attributi statici (come dati demografici) con serie temporali multivariate (MTS) dinamiche e irregolari, di lunghezza variabile. Queste serie temporali offrono preziose informazioni per le previsioni cliniche, e la loro integrazione con dati statici consente una comprensione più profonda dei percorsi di salute dei pazienti.
Le Deep Neural Networks (DNNs) sono efficaci nell’analizzare pattern complessi nei dati sanitari multimodali, ma la loro applicazione clinica è limitata dalla scarsa interpretabilità. Per affrontare questa criticità, lo studio propone architetture DNN interpretabili per prevedere e comprendere l’insorgenza della Multiresistenza agli Antibiotici (MDR) nei reparti di terapia intensiva (ICU). I modelli integrano dati demografici statici e variabili temporali, offrendo una visione olistica dei pazienti.
La metodologia introduce:
• Tecniche di selezione delle feature
• Meccanismi di attenzione
• Strumenti di explainability post-hoc
Questa combinazione riduce la ridondanza delle feature e identifica i fattori di rischio chiave, migliorando l’accuratezza e la robustezza del modello. I risultati mostrano un AUC ROC di 76.90 ± 3.10, significativamente migliore rispetto ai baseline. Inoltre, il framework è scalabile e applicabile ad altri scenari clinici basati su dati EHR, supportando decisioni mediche tempestive ed evidence-based.",,,,,,,
UniLF: A novel short-term load forecasting model uniformly considering various features from multivariate load data,2025,"RQ1, RQ2, RQ3, RQ4","Una previsione accurata del carico elettrico a breve termine (STLF) è fondamentale per garantire il funzionamento economico e stabile dei sistemi elettrici. Nonostante i progressi ottenuti con metodi di deep learning, molti modelli attuali analizzano i dati di carico solo da una prospettiva limitata, senza sfruttare in modo integrato tre caratteristiche chiave dei dati multivariati:
1. L’influenza delle covariate
2. Le caratteristiche multi-scala
3. Le variazioni locali e globali
La mancata estrazione congiunta di queste informazioni ostacola il miglioramento della precisione predittiva.
Per risolvere questo problema, gli autori propongono UniLF, un nuovo modello basato su Transformer, che introduce:
• Un embedding con fusione potenziata da convoluzioni, per catturare le correlazioni tra carico e covariate;
• Un blocco di ricostruzione e decomposizione delle feature, per estrarre pattern multi-scala e variazioni locali/globali da una rappresentazione 2D;
• Un meccanismo di self-attention multiscala guidato da maschere, per potenziare le interazioni tra scale e nel tempo.
Esperimenti su tre dataset reali (Australia, Panama e Austria) mostrano che UniLF raggiunge prestazioni superiori rispetto ai baseline, anche su differenti orizzonti temporali di previsione, mantenendo un'efficienza pratica competitiva.",,,,,,,
https://www.scopus.com/pages/publications/85218678846,2025,"RQ1, RQ2, RQ3, RQ4","Le criptovalute rappresentano un’innovazione finanziaria di grande impatto, che ha modificato profondamente il sistema finanziario. Tuttavia, le loro interazioni sempre più complesse con i mercati finanziari tradizionali rendono difficile prevederne la volatilità. Per affrontare questa sfida, gli autori propongono un nuovo framework basato su una Rete Neurale Grafica Multiscala e Dinamica (EMGNN – Evolving Multiscale Graph Neural Network).
In particolare:
• Viene costruito un grafo che rappresenta le interazioni tra criptovalute e mercati finanziari convenzionali, integrato nel processo predittivo.
• Si utilizzano strutture gerarchiche dinamiche per modellare le interazioni temporali e multiscala.
• Viene valutata anche la robustezza e l’interpretabilità del modello, analizzando le strutture di grafo apprese.
I risultati sperimentali dimostrano che:
1. La volatilità delle criptovalute è legata ai mercati tradizionali, e il grafo integrato migliora la previsione.
2. Il modello EMGNN offre prestazioni eccellenti e robuste su vari indicatori di volatilità, criptovalute diverse, orizzonti previsionali ed error metrics.
3. Le strutture di grafo evolvono nel tempo e su più scale, e il framework le cattura efficacemente.
Questo lavoro fornisce nuove prospettive per la gestione del rischio e per la formulazione di politiche finanziarie.",,,,,,,
https://www.scopus.com/pages/publications/105003254263,2025,"RQ1, RQ2, RQ3, RQ4","Migliorare la precisione del forecasting a lungo termine delle serie temporali è una sfida fondamentale in molti settori. Negli ultimi anni, diversi studi hanno impiegato la Trasformata di Fourier Discreta (DFT) per trasformare le serie temporali nel dominio delle frequenze, in quanto consente una rappresentazione compatta ed efficiente, utile per cogliere pattern ciclici profondi e trend globali difficili da rilevare nel dominio temporale.
Tuttavia, l'informazione nel dominio delle frequenze è ancora sottoutilizzata, a causa di tre limiti principali:
1. L’uso di DFT a risoluzione fissa, che vincola l’analisi a una singola scala di frequenze, comportando la perdita di informazioni rilevanti.
2. L’attenzione quasi esclusiva alle dipendenze globali, trascurando i dettagli temporali locali.
3. L’alta sensibilità al rumore, che riduce la capacità del modello di cogliere pattern stabili.
Per affrontare questi problemi, gli autori propongono FreMixer, una nuova architettura leggera e interamente operante nel dominio delle frequenze, con tre principali contributi:
• Segmentazione multi-risoluzione nel dominio delle frequenze, per combinare informazioni a scale diverse e superare i limiti della DFT classica.
• Architettura a doppio ramo, che cattura simultaneamente feature globali e locali a ogni risoluzione, per una rappresentazione più ricca dei pattern temporali.
• Una nuova funzione di perdita “ArcTanLoss”, meno sensibile al rumore e agli outlier, che migliora la generalizzazione.
Esperimenti su sette dataset diversi confermano l’efficacia del modello e della funzione di perdita proposti.",,,,,,,
https://www.scopus.com/pages/publications/105007019938,2025,"RQ1, RQ2, RQ3, RQ4","Attualmente i modelli basati su Transformer dominano la classificazione delle serie temporali, grazie alla loro capacità di catturare dipendenze globali nei dati. Tuttavia, questi modelli sono noti per l’elevato consumo di memoria e costi computazionali, che li rendono poco adatti per serie temporali multivariate lunghe. Al contrario, i modelli basati su convoluzioni offrono un miglior compromesso tra prestazioni e efficienza, ma sono stati poco esplorati a causa del predominio dei Transformer.
Per colmare questa lacuna, gli autori propongono HDTCNet, un modello puramente convoluzionale che alterna convoluzioni 1D e 2D per catturare le correlazioni temporali tra variazioni intra- e inter-sensore. I principali contributi sono:
1. Wavelet Time Convolution block – Espande il campo ricettivo con kernel convoluzionali 1D inseriti tra una decomposizione e ricostruzione wavelet, migliorando l’analisi temporale fine con basse risorse.
2. Hierarchical Difference Convolution – Cattura gradienti intra- e inter-sensore, modellando le variazioni locali dei segnali.
3. Modulo di auto-miglioramento (self-enhancing) – Raffina la rappresentazione delle feature dei sensori tramite una multi-view self-enhancement.
Queste innovazioni permettono a HDTCNet di ottenere prestazioni superiori rispetto ai modelli esistenti, con maggiore efficienza. I risultati sperimentali mostrano un miglioramento di:
• +2,1% in accuratezza e +1% in F1-score su 25 dataset UEA per la classificazione,
• Ottimi risultati anche su 3 dataset di anomaly detection,
• Con una riduzione dei parametri di due ordini di grandezza.",,,,,,,
Multi-relational mixed perception based short time series prediction of Alzheimer’s disease progression,2025,"RQ1, RQ2, RQ4","L’Alzheimer (AD) è una malattia neurodegenerativa irreversibile e a lungo decorso, per la quale la diagnosi precoce e l’intervento tempestivo sono fondamentali. Tuttavia, i modelli deep learning esistenti per l’analisi dei dati longitudinali sull’AD sono in genere basati su serie temporali lunghe, rendendoli inadatti a situazioni cliniche reali dove i dati sono spesso brevi e raccolti a intervalli irregolari.
In questo studio, gli autori propongono il modello MMPSTS (Multi-relational Mixed Perception based Short Time Series) per la previsione della progressione dell’Alzheimer, con i seguenti contributi principali:
1. Rete generativa avversaria evolutiva temporale (Time Series Evolutionary GAN): migliora la capacità del modello di adattarsi all’evoluzione dei dati nel tempo e generalizza i modelli addestrati su serie lunghe verso dati a serie brevi.
2. Modulo di percezione mista multi-relazionale con filtraggio del rumore: cattura sia relazioni tra coppie di soggetti che relazioni ad ordine superiore, costruendo un grafo di popolazione con filtraggio del rumore e un iper-grafo.
3. Le rappresentazioni congiunte delle relazioni sono poi fornite a una LSTM estesa, per modellare la distribuzione della serie temporale nel contesto clinico.
Il metodo è stato confrontato con altri modelli SOTA su compiti di diagnosi clinica e previsione dei punteggi cognitivi, mostrando risultati superiori. Inoltre, è stata effettuata anche una valutazione patologica per verificare la plausibilità biologica dei risultati ottenuti.",,,,,,,
Deep representation learning enables cross-basin water quality prediction under data-scarce conditions,2025,"RQ1, RQ2, RQ3, RQ4","L’intelligenza artificiale è sempre più impiegata per prevedere la qualità dell’acqua superficiale, al fine di monitorare in modo proattivo la salute degli ecosistemi acquatici. Tuttavia, la previsione della qualità dell’acqua in condizioni di scarsità di dati è particolarmente complessa, specialmente quando i dati provengono da siti di monitoraggio eterogenei, con scarsa somiglianza tra loro, il che limita il trasferimento di informazioni.
Per affrontare questo problema, gli autori propongono un modello deep learning basato su:
• Representation learning per apprendere conoscenze da bacini fluviali sorgente nella fase di pre-training;
• Integrazione dei dati meteorologici per migliorare la previsione.
Il modello è stato validato con successo su dati provenienti da 149 siti di monitoraggio in tutta la Cina interna. I risultati mostrano:
• Elevata accuratezza predittiva su tutti i siti, con un valore medio di efficienza di Nash-Sutcliffe (NSE) pari a 0.80;
• Ottime prestazioni anche su previsioni multi-indicatore;
• Mantenimento delle prestazioni anche con metà dei dati grazie al pre-training, che consente una predizione efficace anche in scenari con pochi dati.
Questo approccio si dimostra promettente per la previsione della qualità dell’acqua a livello inter-bacino, contribuendo allo sviluppo della gestione ambientale dei sistemi idrici.",,,,,,,
Time-intervals-related pattern selection for continuous event prediction,2025,"RQ1, RQ2, RQ3, RQ4","I Symbolic Time Intervals (STI) sono utilizzati in vari ambiti per rappresentare eventi reali di durata variabile, come la durata di un semaforo o i cicli di trattamento medico. I dati temporali multivariati possono contenere STI, eventi puntuali (es. incidenti stradali) o misurazioni manuali (es. esami del sangue), risultando altamente eterogenei.
Questo studio propone un approccio di astrazione temporale, che rappresenta in modo uniforme questi diversi tipi di dati temporali multivariati utilizzando gli STI, al fine di sviluppare un modello per la previsione continua di eventi di interesse.
I principali contributi sono:
1. Uso di TIRPs (Time Interval Related Patterns) che terminano con un evento di interesse, per abilitare una previsione continua.
2. Utilizzo simultaneo di predittori di completamento per diverse istanze di TIRP.
3. Introduzione di nuove metriche discriminative di selezione dei pattern, basate su differenze di frequenze o durate tra i soggetti che presentano o meno l’evento.
I metodi proposti hanno ottenuto un miglioramento medio del 5% in AUROC rispetto a LSTM-FCN, il miglior baseline tra i confrontati (RawXGB, ResNet, LSTM-FCN e ROCKET), testati su dataset medici e non medici.
Il metodo ha un forte potenziale di applicazione reale e in tempo reale in contesti con dati temporali multivariati ed eterogenei, ad esempio per la previsione precoce di attacchi di panico tramite wearable o complicazioni in terapia intensiva.",,,,,,,
